id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink,perm_responsibility
base_access_nh_clinical_ldh_patient_clerking,admin:access_nh_clinical_ldh_patient_clerking,model_nh_clinical_ldh_patient_clerking,nh_clinical.group_nhc_base,0,0,0,0,0
base_access_nh_clinical_ldh_patient_review,admin:access_nh_clinical_ldh_patient_review,model_nh_clinical_ldh_patient_review,nh_clinical.group_nhc_base,0,0,0,0,0
base_access_nh_ldh_activity_workload,admin:access_nh_ldh_activity_workload,model_nh_ldh_activity_workload,nh_clinical.group_nhc_base,0,0,0,0,0
base_access_nh_clinical_clerking,admin:access_nh_clinical_clerking,model_nh_clinical_clerking,nh_clinical.group_nhc_base,0,0,0,0,0
base_access_nh_clinical_review,admin:access_nh_clinical_review,model_nh_clinical_review,nh_clinical.group_nhc_base,0,0,0,0,0
base_access_nh_clinical_ldh_diagnosis,admin:access_nh_clinical_ldh_diagnosis,model_nh_clinical_ldh_diagnosis,nh_clinical.group_nhc_base,0,0,0,0,0
base_access_nh_clinical_ldh_patientlist,admin:access_nh_clinical_ldh_patientlist,model_nh_clinical_ldh_patientlist,nh_clinical.group_nhc_base,0,0,0,0,0
base_access_nh_clinical_ldh_spell_update,admin:access_nh_clinical_ldh_spell_update,model_nh_clinical_ldh_spell_update,nh_clinical.group_nhc_base,0,0,0,0,0
,,,,,,,,
nurse_access_nh_clinical_ldh_patient_clerking,nurse:access_nh_clinical_ldh_patient_clerking,model_nh_clinical_ldh_patient_clerking,nh_clinical.group_nhc_nurse,1,0,0,0,0
nurse_access_nh_clinical_ldh_patient_review,nurse:access_nh_clinical_ldh_patient_review,model_nh_clinical_ldh_patient_review,nh_clinical.group_nhc_nurse,1,0,0,0,0
nurse_access_nh_clinical_clerking,nurse:access_nh_clinical_clerking,model_nh_clinical_clerking,nh_clinical.group_nhc_nurse,0,0,0,0,0
nurse_access_nh_clinical_review,nurse:access_nh_clinical_review,model_nh_clinical_review,nh_clinical.group_nhc_nurse,0,0,0,0,0
nurse_access_nh_clinical_ldh_diagnosis,nurse:access_nh_clinical_ldh_diagnosis,model_nh_clinical_ldh_diagnosis,nh_clinical.group_nhc_nurse,1,0,0,0,0
nurse_access_nh_clinical_ldh_patientlist,nurse:access_nh_clinical_ldh_patientlist,model_nh_clinical_ldh_patientlist,nh_clinical.group_nhc_nurse,0,0,0,0,0
nurse_access_nh_clinical_ldh_spell_update,nurse:access_nh_clinical_ldh_spell_update,model_nh_clinical_ldh_spell_update,nh_clinical.group_nhc_nurse,0,0,0,0,0
,,,,,,,,
manager_access_nh_clinical_ldh_patient_clerking,manager:access_nh_clinical_ldh_patient_clerking,model_nh_clinical_ldh_patient_clerking,nh_clinical.group_nhc_ward_manager,1,1,1,1,1
manager_access_nh_clinical_ldh_patient_review,manager:access_nh_clinical_ldh_patient_review,model_nh_clinical_ldh_patient_review,nh_clinical.group_nhc_ward_manager,1,1,1,1,1
manager_access_nh_ldh_activity_workload,manager:access_nh_ldh_activity_workload,model_nh_ldh_activity_workload,nh_clinical.group_nhc_ward_manager,1,1,1,1,1
manager_access_nh_clinical_clerking,manager:access_nh_clinical_clerking,model_nh_clinical_clerking,nh_clinical.group_nhc_ward_manager,0,0,0,0,0
manager_access_nh_clinical_review,manager:access_nh_clinical_review,model_nh_clinical_review,nh_clinical.group_nhc_ward_manager,0,0,0,0,0
manager_access_nh_clinical_ldh_diagnosis,manager:access_nh_clinical_ldh_diagnosis,model_nh_clinical_ldh_diagnosis,nh_clinical.group_nhc_ward_manager,1,0,0,0,0
manager_access_nh_clinical_ldh_patientlist,manager:access_nh_clinical_ldh_patientlist,model_nh_clinical_ldh_patientlist,nh_clinical.group_nhc_ward_manager,1,1,1,1,1
manager_access_nh_clinical_ldh_spell_update,manager:access_nh_clinical_ldh_spell_update,model_nh_clinical_ldh_spell_update,nh_clinical.group_nhc_ward_manager,1,1,1,1,1
,,,,,,,,
hca_access_nh_clinical_ldh_patient_clerking,hca:access_nh_clinical_ldh_patient_clerking,model_nh_clinical_ldh_patient_clerking,nh_clinical.group_nhc_hca,1,1,1,1,1
hca_access_nh_clinical_ldh_patient_review,hca:access_nh_clinical_ldh_patient_review,model_nh_clinical_ldh_patient_review,nh_clinical.group_nhc_hca,1,0,0,0,0
hca_access_nh_clinical_clerking,hca:access_nh_clinical_clerking,model_nh_clinical_clerking,nh_clinical.group_nhc_hca,1,1,1,1,1
hca_access_nh_clinical_review,hca:access_nh_clinical_review,model_nh_clinical_review,nh_clinical.group_nhc_hca,0,0,0,0,0
hca_access_nh_clinical_ldh_diagnosis,hca:access_nh_clinical_ldh_diagnosis,model_nh_clinical_ldh_diagnosis,nh_clinical.group_nhc_hca,1,0,0,0,0
hca_access_nh_clinical_ldh_patientlist,hca:access_nh_clinical_ldh_patientlist,model_nh_clinical_ldh_patientlist,nh_clinical.group_nhc_hca,0,0,0,0,0
hca_access_nh_clinical_ldh_spell_update,hca:access_nh_clinical_ldh_spell_update,model_nh_clinical_ldh_spell_update,nh_clinical.group_nhc_hca,0,0,0,0,0
,,,,,,,,
dev_access_nh_clinical_ldh_patient_clerking,developer:access_nh_clinical_ldh_patient_clerking,model_nh_clinical_ldh_patient_clerking,nh_clinical.group_nhc_dev,1,1,1,1,1
dev_access_nh_clinical_ldh_patient_review,developer:access_nh_clinical_ldh_patient_review,model_nh_clinical_ldh_patient_review,nh_clinical.group_nhc_dev,1,1,1,1,1.
dev_access_nh_ldh_activity_workload,developer:access_nh_ldh_activity_workload,model_nh_ldh_activity_workload,nh_clinical.group_nhc_dev,1,1,1,1,1
dev_access_nh_clinical_clerking,developer:access_nh_clinical_clerking,model_nh_clinical_clerking,nh_clinical.group_nhc_dev,1,1,1,1,1
dev_access_nh_clinical_review,developer:access_nh_clinical_review,model_nh_clinical_review,nh_clinical.group_nhc_dev,1,1,1,1,1
dev_access_nh_clinical_ldh_diagnosis,developer:access_nh_clinical_ldh_diagnosis,model_nh_clinical_ldh_diagnosis,nh_clinical.group_nhc_dev,1,1,1,1,1
dev_access_nh_clinical_ldh_patientlist,developer:access_nh_clinical_ldh_patientlist,model_nh_clinical_ldh_patientlist,nh_clinical.group_nhc_dev,1,1,1,1,1
dev_access_nh_clinical_ldh_spell_update,developer:access_nh_clinical_ldh_spell_update,model_nh_clinical_ldh_spell_update,nh_clinical.group_nhc_dev,1,1,1,1,1
,,,,,,,,
doctor_access_nh_clinical_ldh_patient_clerking,doctor:access_nh_clinical_ldh_patient_clerking,model_nh_clinical_ldh_patient_clerking,nh_clinical.group_nhc_doctor,1,1,1,1,1
doctor_access_nh_clinical_ldh_patient_review,doctor:access_nh_clinical_ldh_patient_review,model_nh_clinical_ldh_patient_review,nh_clinical.group_nhc_doctor,1,1,1,1,1
doctor_access_nh_ldh_activity_workload,doctor:access_nh_ldh_activity_workload,model_nh_ldh_activity_workload,nh_clinical.group_nhc_doctor,1,1,1,1,1
doctor_access_nh_clinical_clerking,doctor:access_nh_clinical_clerking,model_nh_clinical_clerking,nh_clinical.group_nhc_doctor,0,0,0,0,0
doctor_access_nh_clinical_review,doctor:access_nh_clinical_review,model_nh_clinical_review,nh_clinical.group_nhc_doctor,1,1,1,1,1
doctor_access_nh_clinical_ldh_diagnosis,doctor:access_nh_clinical_ldh_diagnosis,model_nh_clinical_ldh_diagnosis,nh_clinical.group_nhc_doctor,1,1,1,1,1
doctor_access_nh_clinical_ldh_patientlist,doctor:access_nh_clinical_ldh_patientlist,model_nh_clinical_ldh_patientlist,nh_clinical.group_nhc_doctor,0,0,0,0,0
doctor_access_nh_clinical_ldh_spell_update,doctor:access_nh_clinical_ldh_spell_update,model_nh_clinical_ldh_spell_update,nh_clinical.group_nhc_doctor,1,1,1,1,1
,,,,,,,,
admin_access_nh_clinical_ldh_patient_clerking,admin:access_nh_clinical_ldh_patient_clerking,model_nh_clinical_ldh_patient_clerking,nh_clinical.group_nhc_admin,1,1,1,1,0
admin_access_nh_clinical_ldh_patient_review,admin:access_nh_clinical_ldh_patient_review,model_nh_clinical_ldh_patient_review,nh_clinical.group_nhc_admin,1,1,1,1,1
admin_access_nh_ldh_activity_workload,admin:access_nh_ldh_activity_workload,model_nh_ldh_activity_workload,nh_clinical.group_nhc_admin,1,1,1,1,1
admin_access_nh_clinical_clerking,admin:access_nh_clinical_clerking,model_nh_clinical_clerking,nh_clinical.group_nhc_admin,1,1,1,1,1
admin_access_nh_clinical_review,admin:access_nh_clinical_review,model_nh_clinical_review,nh_clinical.group_nhc_admin,1,1,1,1,1
admin_access_nh_clinical_ldh_diagnosis,admin:access_nh_clinical_ldh_diagnosis,model_nh_clinical_ldh_diagnosis,nh_clinical.group_nhc_admin,1,1,1,1,1
admin_access_nh_clinical_ldh_patientlist,admin:access_nh_clinical_ldh_patientlist,model_nh_clinical_ldh_patientlist,nh_clinical.group_nhc_admin,1,1,1,1,1
admin_access_nh_clinical_ldh_spell_update,admin:access_nh_clinical_ldh_spell_update,model_nh_clinical_ldh_spell_update,nh_clinical.group_nhc_admin,1,1,1,1,1
,,,,,,,,
adt_access_nh_clinical_ldh_patient_clerking,adt:access_nh_clinical_ldh_patient_clerking,model_nh_clinical_ldh_patient_clerking,nh_clinical.group_nhc_adt,1,1,1,1,0
adt_access_nh_clinical_ldh_patient_review,adt:access_nh_clinical_ldh_patient_review,model_nh_clinical_ldh_patient_review,nh_clinical.group_nhc_adt,1,1,1,1,0
adt_access_nh_clinical_clerking,adt:access_nh_clinical_clerking,model_nh_clinical_clerking,nh_clinical.group_nhc_adt,0,0,0,0,0
adt_access_nh_clinical_review,adt:access_nh_clinical_review,model_nh_clinical_review,nh_clinical.group_nhc_adt,0,0,0,0,0
adt_access_nh_clinical_ldh_diagnosis,adt:access_nh_clinical_ldh_diagnosis,model_nh_clinical_ldh_diagnosis,nh_clinical.group_nhc_adt,1,0,0,0,0
adt_access_nh_clinical_ldh_patientlist,adt:access_nh_clinical_ldh_patientlist,model_nh_clinical_ldh_patientlist,nh_clinical.group_nhc_adt,0,0,0,0,0
adt_access_nh_clinical_ldh_spell_update,adt:access_nh_clinical_ldh_spell_update,model_nh_clinical_ldh_spell_update,nh_clinical.group_nhc_adt,0,0,0,0,0
